id;LoanAmount;TimeToFund
109570;575;0
111913;900;1
1457371;200;1
1470250;700;21
228017;450;3
1643840;825;7
633590;875;6
1707906;425;5
1394683;1000;17
1460232;1700;4
1594374;1000;13
1652782;100;8
1449570;300;20
1491835;300;5
1501325;200;5
1135281;300;10
1319362;325;14
1459730;575;28
1564596;450;12
1583495;450;28
1676382;725;2
1669479;100;4
791121;300;25
678373;250;3
315716;550;4
321468;800;15
329550;225;13
313842;1000;3
330590;450;5
239592;300;4
242355;375;0
248085;550;1
1365859;1750;25
1066643;375;2
998694;600;6
467869;575;1
142411;500;10
142494;800;0
154698;2000;31
158669;350;3
163240;225;3
163577;800;6
171932;125;0
1625228;300;7
259583;450;0
266266;125;0
273418;175;1
1458494;1200;4
1495316;275;4
1499006;275;3
1501508;1000;11
680482;675;4
363729;325;30
364302;1925;32
366214;1000;11
371548;500;19
373083;1000;40
374041;300;1
382729;575;5
384540;600;0
384896;750;3
388239;1050;14
521063;600;24
530232;325;2
537775;450;2
540653;725;4
552466;1400;24
552526;1550;2
1226138;300;1
1435040;1150;7
1436369;700;28
1024260;125;6
1313090;175;13
1124983;575;27
1399351;600;21
1157159;625;9
1451774;350;1
1425669;200;13
570951;1500;8
579472;900;23
580915;500;12
582021;175;7
588290;825;18
1243373;775;25
843885;1500;31
1106969;125;14
1220346;1025;28
661377;2100;11
661796;650;33
1579607;800;11
1693718;200;2
1686820;1650;6
1665334;1075;24
1672374;950;35
981505;400;23
895410;450;4
1168922;125;6
563478;550;35
1291677;100;12
1489408;375;34
1557699;350;5
610586;150;8
1121760;775;4
1621367;1250;15
673770;600;13
839161;300;4
1053004;1000;33
1053809;525;7
402207;475;4
406182;500;3
410202;200;15
456441;575;9
1234775;900;8
1569820;500;15
1665572;700;16
93066;950;4
659348;3000;21
1491823;600;31
697430;725;2
1175586;600;51
1593325;700;36
1664794;50;3
1013865;650;1
1493082;350;3
508437;375;0
416421;2000;32
434341;700;49
434665;250;25
112639;850;0
1579942;325;1
1401002;475;8
112398;150;0
118096;150;1
1499939;425;2
1597243;1000;30
238602;200;2
248641;250;15
1491111;1200;21
1323411;650;19
1067168;175;7
242961;975;37
1651495;2750;30
219969;450;6
1287065;1225;24
1532411;1050;20
141326;300;0
153718;1175;6
155857;700;4
160342;1200;3
164549;500;1
165622;875;1
167679;1200;4
170601;125;0
171682;1000;14
175061;1000;2
176261;675;42
1441464;575;4
1486168;600;12
1635301;50;5
1499012;700;3
1441804;750;1
1153708;425;4
1443228;1025;18
1484334;1450;1
496608;475;3
496911;375;1
499185;250;1
501658;75;0
363750;325;9
363881;2200;49
371579;500;2
377568;200;0
378856;375;7
384040;350;2
393508;125;2
398994;1925;17
402104;1150;32
798270;1550;13
1690359;475;20
312688;375;10
314058;1125;30
320798;900;32
330827;625;17
1498892;125;2
790839;125;5
620400;800;28
679887;1050;36
766156;300;10
1323228;275;12
1323328;350;32
1046745;1675;29
1021759;975;9
576510;475;8
577313;450;5
577650;150;5
588027;600;7
592066;2300;36
596417;250;34
601939;475;20
604814;1475;3
95163;1000;1
107103;600;0
846537;500;4
1110189;300;38
1111464;225;7
1312568;750;39
524420;725;11
528453;225;2
537218;125;2
538517;800;3
540276;1100;3
541280;350;6
405473;1050;5
408077;525;21
411132;925;26
412866;300;5
1275057;300;18
626957;250;19
627499;1175;22
1481649;200;1
1456613;800;2
979778;225;4
980883;625;7
983097;375;8
1339125;1550;40
897306;1125;27
1645217;225;28
937286;100;2
937818;1000;30
839443;250;12
555617;1825;19
559463;1275;8
1337652;200;11
1446948;200;4
1048960;300;19
469896;1175;21
1671604;325;21
702117;925;38
1684086;300;28
1684495;125;2
1368219;200;0
822844;1500;31
818047;50;19
996102;300;3
1535084;200;5
1174246;150;8
1176662;700;13
214886;725;28
215792;1200;5
1664645;1050;4
1151671;1575;13
456577;250;4
461509;300;4
1235471;875;1
234498;125;0
237275;725;8
237882;600;4
244469;600;26
247314;100;0
248161;750;11
126501;600;3
1264075;2075;36
151877;575;6
161748;200;1
161849;1850;2
164661;175;0
174878;800;4
176454;425;0
134074;2500;21
134176;500;3
852368;125;5
853987;475;11
125235;150;0
1465397;1025;11
1562314;1025;14
260571;250;0
1349693;675;19
1554187;175;9
1636694;500;33
1512841;925;24
1558431;550;2
1154664;400;1
1693525;150;2
495106;800;6
364503;775;22
366043;400;48
384593;350;3
385013;300;5
390147;1200;7
391216;375;13
391426;250;4
375274;350;37
398492;1275;29
400581;250;5
632032;1100;5
766635;550;8
472257;250;6
1056235;500;32
1454145;300;31
1483469;100;1
1549090;525;7
1569895;1000;2
1655091;325;32
1598363;675;1
208389;150;0
213618;125;1
95059;175;1
107855;250;2
1111768;300;16
414095;1000;13
1614936;250;3
1577109;200;8
1622761;250;3
253812;625;1
256445;425;10
291163;650;2
1657097;450;29
1198922;375;8
111600;625;2
112041;275;6
1366768;300;9
1472463;1000;9
1497635;1000;6
1169983;1675;13
1096032;225;9
1326470;225;10
298175;1675;17
1217788;225;0
776920;1350;8
523079;625;16
530300;625;4
531320;125;1
541152;600;4
545784;250;6
607449;150;7
621120;450;2
1042270;325;6
890828;450;30
893726;850;40
896793;575;19
780433;1250;9
783026;625;37
1115166;375;37
1651395;200;4
622798;1925;36
1547488;450;8
791228;1350;24
314694;600;34
324063;200;5
324170;1100;22
331164;450;7
334628;550;25
915936;750;44
471908;800;38
749198;175;8
839555;400;5
862852;800;18
1393691;600;30
558414;2050;7
559704;700;5
1490886;1000;15
1659983;400;32
1608422;100;1
1674137;350;11
1387523;125;4
922791;200;11
92910;500;3
1315163;325;25
897756;1125;12
964168;700;34
1700551;425;9
508341;2550;3
510900;1500;29
425853;125;8
428012;600;29
519861;1325;27
521871;2100;3
524699;750;9
542580;200;1
545163;1500;27
539212;900;1
541191;725;33
546035;150;1
547967;400;7
1341585;925;30
1405665;600;29
1546399;500;32
1659222;1025;5
1625447;325;14
1595796;575;1
1585855;450;25
1604227;300;2
1631098;200;2
1669468;475;4
879360;425;30
321748;575;9
234129;375;1
236652;450;1
237228;1125;5
237317;125;1
245259;250;4
246146;575;13
1423332;300;3
1466920;200;0
1550441;875;48
1609084;425;4
1324092;300;8
1602882;950;30
1630639;200;3
571116;250;2
572697;450;25
573463;1100;7
582369;200;6
583409;200;5
586811;1925;5
596767;550;3
597204;850;30
603263;150;6
5080;500;52
8315;400;4
13223;175;2
20690;125;1
25048;1075;5
30486;1200;1
13354;625;2
36353;700;6
1044028;200;7
1670171;1075;19
793286;575;13
1123389;500;10
611496;425;13
1397561;400;2
1398833;250;3
1308800;425;13
1484650;500;0
702799;500;7
169577;425;0
171255;250;0
1643433;400;10
118831;325;6
1644122;425;9
1604718;1075;6
1649368;100;6
1669743;175;4
130390;900;1
1531568;200;6
851885;675;13
1617507;475;0
1622208;450;1
298037;350;4
1218416;775;7
260248;625;2
1599643;1050;27
981342;275;4
891381;575;25
782161;1475;4
782963;600;4
1115491;125;7
1651017;250;21
1602311;425;4
377235;425;2
377403;1125;12
385079;375;5
387953;1000;14
390837;3000;32
471815;250;5
936947;400;3
1703794;425;6
748819;200;22
839350;500;3
561503;1025;9
562084;1000;33
563948;1175;8
1571842;525;13
1349112;1000;38
1441887;250;0
1443873;1200;3
495096;600;18
496064;625;4
471383;225;5
1683952;525;1
823928;150;0
825910;575;31
997802;225;9
695398;1850;10
1677362;575;4
1657095;425;9
205983;375;17
208674;300;0
457732;350;0
100662;1200;41
107783;575;1
1245953;300;13
922835;200;5
923972;500;30
1692304;200;4
1125656;400;20
92258;200;9
1441533;350;7
1478969;275;21
413420;1025;36
850416;1200;7
1355920;175;11
512806;275;1
245359;175;1
243596;1200;22
1414010;400;21
1587228;775;5
117477;1025;1
1406563;450;1
144050;500;0
147031;200;2
152247;1050;29
156797;775;1
161788;200;2
163333;350;4
167019;1150;3
131286;350;2
132576;700;2
1527719;450;28
1531766;575;31
852784;675;16
125664;400;19
1234291;225;3
258996;1200;9
260636;1200;5
1506123;325;7
1511003;150;3
1604123;1600;8
1658781;325;28
367112;600;5
373076;1150;3
378280;800;4
386930;275;0
390068;250;7
390737;275;5
387370;325;19
396144;850;8
398535;700;17
819023;350;5
764828;200;10
765073;200;5
469467;1175;10
1022209;500;31
1022851;100;3
1567833;200;9
