hhsex;age;educ;married;kids;lf;famstruct;race;OCCAT1;OCCAT2;income;wageinc;bussefarminc;intdivinc;kginc;ssretinc;transfothinc;norminc;knowl;logWealth
1;71;10;2;0;0;3;1;3;4;13164.2734060885;0;0;0;0;9113.72774267662;3949.28202182654;13164.2734060885;10;12.082944098049
0;20;8;1;0;1;5;3;4;4;22278.0011487651;19240.0919012062;0;0;0;0;3442.96381390006;22278.0011487651;8;2.30258509299405
0;30;9;1;2;1;4;1;1;2;112402.642159678;108352.096496266;0;2531.5910396324;0;0;1518.95462377944;112402.642159678;8;12.6277391329763
1;33;8;2;2;1;1;3;1;2;42530.7294658242;42530.7294658242;0;0;0;0;0;42530.7294658242;7;10.5794885742611
0;41;13;1;1;1;4;1;1;1;114427.914991384;114427.914991384;0;0;0;0;0;114427.914991384;7;11.7775947631129
0;29;13;2;0;1;2;1;1;1;63796.0941987364;60758.1849511775;1924.00919012062;607.581849511775;0;0;0;63796.0941987364;8;13.3020147056424
1;30;6;1;3;1;4;2;4;4;27341.1832280299;0;7290.9821941413;0;0;0;19645.1464675474;27341.1832280299;1;9.81356284500814
0;21;9;2;0;1;2;1;1;2;17214.8190695003;17214.8190695003;0;0;0;0;0;17214.8190695003;7;9.70625538300642
1;48;11;2;2;1;1;1;1;2;42530.7294658242;42530.7294658242;0;0;0;0;0;42530.7294658242;9;9.28730141311231
0;62;8;1;1;0;4;5;3;4;47492.6479035037;44556.0022975302;0;0;0;2936.64560597358;0;47492.6479035037;5;12.0906617940188
1;83;10;2;0;0;3;1;3;4;12151.6369902355;0;0;0;0;11139.0005743825;1113.90005743825;40505.4566341183;5;6.04025471127741
0;37;6;2;0;1;2;1;4;4;5063.18207926479;0;0;0;0;0;2126.53647329121;5063.18207926479;4;9.21034037197618
0;45;12;2;0;1;2;3;1;1;116453.18782309;113415.278575531;0;111.390005743825;3037.90924755887;0;0;103288.914417002;7;14.3053168145062
0;68;8;1;1;0;4;1;3;4;97213.095921884;70884.5491097071;0;202.527283170592;0;25315.910396324;0;97213.095921884;10;13.1940326640947
0;45;12;1;3;1;4;5;2;1;983269.959793222;394928.202182654;514520.562894888;28353.8196438828;0;0;0;983269.959793222;7;15.3744548561814
0;64;14;1;0;0;5;1;3;4;441509.47731189;73922.4583572659;0;141951.372774268;37467.5473865595;187337.736932797;0;441509.47731189;10;16.1101945190621
1;93;8;2;0;0;3;1;3;4;38176.3928776565;0;0;10632.6823664561;9417.51866743251;18936.3009764503;0;38176.3928776565;8;12.9200023652726
0;61;14;1;0;1;5;1;2;1;4880907.52441126;239994.830557151;4151809.30499713;252247.731188972;261260.195290063;0;0;4880907.52441126;10;17.4249679451007
1;55;8;2;1;1;1;1;1;1;39492.8202182654;26328.5468121769;0;0;0;0;13164.2734060885;39492.8202182654;8;10.3254819625955
1;85;14;2;0;1;3;1;2;1;185312.464101091;0;8708.67317633544;87086.7317633544;20252.7283170592;105314.187248708;0;185312.464101091;7;15.4285420059085
1;30;8;2;2;1;1;2;1;1;26328.5468121769;22278.0011487651;0;0;0;0;4354.33658816772;26328.5468121769;6;8.25582842728183
0;48;12;1;2;1;4;2;4;4;151895.462377944;151895.462377944;0;0;0;0;0;151895.462377944;5;12.4760997827432
0;27;8;1;3;1;4;1;1;3;29366.4560597358;26328.5468121769;0;0;0;0;2430.3273980471;29366.4560597358;4;9.21044036697652
1;61;5;2;2;0;1;3;3;4;22278.0011487651;1215.16369902355;0;0;0;12151.6369902355;7797.30040206778;28353.8196438828;5;9.65950333535007
0;74;13;1;1;1;4;5;2;1;10815969.5577254;94175.1866743251;1722190.75244113;3518911.54508903;759477.311889719;64808.7306145893;0;10815969.5577254;7;18.4526056767367
0;42;12;1;1;1;4;1;1;1;89112.0045950603;89112.0045950603;0;0;0;0;0;89112.0045950603;6;12.0861623488576
0;50;8;1;0;1;5;1;1;3;94175.1866743251;94175.1866743251;0;0;303.790924755887;0;0;94175.1866743251;9;11.5193150082919
0;51;8;1;2;1;4;1;1;2;205565.192418151;202527.283170592;0;3037.90924755887;-506.318207926479;0;0;205565.192418151;8;13.5294272068762
0;42;12;1;2;1;4;1;1;3;211641.010913268;186325.100516944;3037.90924755887;0;0;22278.0011487651;0;211641.010913268;7;12.5389670608035
1;57;13;2;0;1;3;1;1;1;62783.4577828834;62783.4577828834;101.263641585296;5.06318207926479;0;0;0;68859.2762780012;10;11.1389590239214
0;55;11;1;0;1;5;1;1;3;112402.642159678;109364.73291212;0;50.6318207926479;2126.53647329121;0;0;112402.642159678;8;14.0806095412158
0;40;8;1;1;1;4;1;1;3;46581.2751292361;0;39492.8202182654;0;0;0;7088.45491097071;46581.2751292361;2;10.0519506601738
0;59;9;1;0;1;5;1;2;1;4729012.06203331;2430327.3980471;2258179.2073521;30379.0924755887;40505.4566341183;10126.3641585296;0;4729012.06203331;7;17.9797853300122
1;65;8;2;0;0;3;1;3;4;6075.81849511775;0;0;6075.81849511775;0;0;0;6075.81849511775;8;13.9474156288442
0;58;12;1;2;1;4;1;2;2;794919.586444572;405054.566341183;384801.838024124;759.477311889719;3645.49109707065;0;0;688592.762780012;9;16.1595734304046
0;48;13;1;2;1;4;5;1;1;111390.005743825;111390.005743825;0;0;0;0;0;111390.005743825;8;13.0725426824204
1;43;9;2;0;1;2;2;1;2;32404.3653072947;0;0;0;0;33417.0017231476;0;32404.3653072947;9;10.6619541992167
0;58;12;2;0;1;3;1;1;1;58732.9121194716;58732.9121194716;0;0;0;0;0;58732.9121194716;8;12.9992913798143
0;41;12;1;2;1;4;3;1;1;186325.100516944;187337.736932797;0;0;-810.109132682367;0;0;186325.100516944;6;13.2728502106783
0;31;8;1;1;1;4;3;1;1;91137.2774267662;91137.2774267662;0;0;0;0;0;91137.2774267662;10;12.0008917945901
0;45;7;1;5;1;4;1;2;3;25315.910396324;0;1660.72372199885;0;0;16202.1826536473;7290.9821941413;25315.910396324;7;11.9822413577795
0;29;9;1;0;1;5;2;2;1;21265.3647329121;17214.8190695003;0;0;0;0;3037.90924755887;12151.6369902355;3;9.50673438502998
0;44;12;1;2;1;4;1;1;1;174173.463526709;173160.827110856;0;1113.90005743825;151.895462377944;0;0;174173.463526709;7;13.7605262496315
0;40;12;1;4;1;4;1;2;3;540747.84606548;91137.2774267662;419231.476163125;6885.92762780012;4556.86387133831;0;18227.4554853533;354422.745548535;8;15.5934415192558
0;56;12;1;0;1;5;1;1;1;66834.0034462952;66834.0034462952;0;0;0;0;0;66834.0034462952;9;12.5411868175418
0;55;13;1;1;1;4;1;1;1;731123.492245836;708845.491097071;3037.90924755887;9113.72774267662;10126.3641585296;0;0;556950.028719127;7;15.2336184590465
0;42;12;1;1;1;4;1;1;1;73922.4583572659;28353.8196438828;12151.6369902355;0;0;0;33417.0017231476;78985.6404365307;3;11.403110598963
0;69;13;1;0;1;5;1;2;1;298727.742676623;126579.55198162;126579.55198162;50.6318207926479;0;45568.6387133831;0;298727.742676623;9;14.3352562791048
1;51;5;2;0;0;2;2;3;4;20252.7283170592;0;0;0;0;0;20353.9919586445;20252.7283170592;8;0
1;59;12;2;0;1;3;1;1;1;111390.005743825;111390.005743825;0;0;0;0;0;111390.005743825;9;13.0400681346775
1;32;1;2;2;1;1;3;1;3;10126.3641585296;10126.3641585296;0;0;0;0;0;14176.9098219414;-1;8.97461803845511
0;48;8;1;1;1;4;1;2;3;45568.6387133831;0;45568.6387133831;0;0;0;0;45568.6387133831;6;10.0432494949113
1;90;12;2;0;0;3;1;3;4;20252.7283170592;0;1012.63641585296;5063.18207926479;0;19240.0919012062;0;20252.7283170592;5;12.768541502448
0;67;9;2;0;0;3;1;3;4;78985.6404365307;44556.0022975302;5468.23664560598;0;1012.63641585296;28353.8196438828;0;99238.3687535899;10;13.6742925560487
0;75;8;1;0;1;5;1;2;1;4085987.93796669;0;2140713.38311315;308854.106835152;1012636.41585296;42530.7294658242;0;4085987.93796669;10;18.4251905594302
1;69;12;2;0;0;3;1;3;4;109364.73291212;48606.547960942;0;0;0;70884.5491097071;0;109364.73291212;9;10.9205281875104
0;47;7;1;0;0;5;2;3;4;39492.8202182654;29366.4560597358;0;0;0;10126.3641585296;0;39492.8202182654;10;8.56598335558567
0;35;8;1;2;1;4;1;1;2;133668.006892591;126579.55198162;7088.45491097071;0;0;0;0;133668.006892591;10;12.4626509729306
0;66;13;1;0;1;5;1;2;1;130630.097645032;0;10126.3641585296;7088.45491097071;0;113415.278575531;0;130630.097645032;10;14.0642438802775
0;30;8;1;0;1;5;1;1;3;16202.1826536473;16202.1826536473;0;0;0;0;0;16202.1826536473;6;9.84691720104773
0;77;14;1;0;0;5;1;3;4;2359442.84893739;0;600493.394600804;1599965.53704767;253159.10396324;59745.5485353245;0;2359442.84893739;10;17.2686107149094
0;68;12;1;0;0;5;1;3;4;137718.552556002;0;121516.369902355;0;0;16202.1826536473;0;137718.552556002;8;13.6556938565104
0;61;12;1;0;1;5;1;4;4;117465.824238943;117465.824238943;0;384.801838024124;0;0;0;136705.916140149;6;13.035606513478
0;62;14;1;0;1;5;5;2;1;3463216.54221712;273411.832280299;3037909.24755887;154933.371625503;3037.90924755887;0;0;3463216.54221712;9;17.5749649647478
0;66;13;1;1;1;4;1;2;1;111390.005743825;11139.0005743825;0;0;0;101263.641585296;0;111390.005743825;9;14.1386442301463
0;77;12;1;0;0;5;1;3;4;105314.187248708;0;0;1984.7673750718;16202.1826536473;91137.2774267662;0;105314.187248708;10;14.1026049577703
0;48;8;1;1;1;4;1;1;2;91137.2774267662;91137.2774267662;0;0;0;0;0;91137.2774267662;8;10.5097415309417
0;61;8;1;1;1;4;1;1;2;223792.647903504;223792.647903504;0;526.570936243538;0;0;0;223792.647903504;3;13.8297585712295
1;41;8;2;2;1;1;2;1;3;19240.0919012062;15189.5462377944;0;0;0;0;4354.33658816772;19240.0919012062;7;8.79951090136887
0;32;8;1;2;1;4;1;1;1;30379.0924755887;30379.0924755887;0;0;0;0;0;25315.910396324;9;8.75621009188674
0;45;13;1;2;1;4;1;1;1;121516.369902355;112402.642159678;0;2561.97013210798;6075.81849511775;0;0;121516.369902355;9;12.7779557385971
1;82;9;2;0;0;3;1;3;4;42530.7294658242;0;30379.0924755887;0;0;12151.6369902355;0;42530.7294658242;6;13.6488654805553
0;40;14;1;3;1;4;3;2;1;15189.5462377944;465812.751292361;-478977.024698449;30905.6634118323;-3037.90924755887;0;30.3790924755887;1012636.41585296;9;15.9760769139367
0;44;8;1;0;0;5;1;3;4;43543.3658816772;35442.2745548535;0;0;0;7898.56404365307;0;43543.3658816772;8;9.78695373628018
0;53;8;2;0;1;2;3;1;1;21265.3647329121;13164.2734060885;0;0;0;0;0;21265.3647329121;10;11.5364466600116
