id,Rent,livingspace,NoOfRooms,lat,lon,distanceShop,dum_balcony,dum_builtinkitchen,dum_floorplan,dum_garden,dum_privateoffer
1000002,275,60.599998,3,50.85751,11.33399,3.9652839,1,0,0,0,0
1000003,1048.4,56.669998,2,48.095928,11.50917,2.9464395,1,0,0,0,0
1000004,507,71.360001,3.5,51.58728,7.1405902,3.7063129,1,0,1,0,0
1000007,1628.65,130.83,5,52.519562,13.31547,4.9782467,1,1,1,0,0
1000009,1200,88,3,50.392021,8.0738096,0.29982802,1,0,0,0,0
1000010,370,24.82,1,50.946362,6.9587798,2.2451208,0,1,0,0,0
1000012,321,64,3,51.408428,6.72577,3.1873558,0,0,0,0,0
1000014,285,56,2,51.4086,6.7260098,2.6236379,0,0,0,0,0
1000015,300,59.509998,3,51.375019,11.60682,6.5127487,1,0,0,0,0
1000016,425,78,4,53.347721,7.22087,4.9570351,1,0,1,0,0
1000017,999,90.580002,4,52.39373,13.50115,0.81793344,1,1,1,0,0
1000018,1459,76.449997,2,52.539249,13.4253,6.3595052,1,1,1,0,0
1000021,710.15997,64.559998,2,51.052849,13.72576,2.1451864,1,1,0,0,0
1000023,390,65.300003,3,53.383362,10.72425,1.234656,0,0,0,0,0
1000028,895,74.970001,2,49.956169,9.1779804,0.52493894,1,0,1,1,0
1000029,950,26,1,50.083611,8.6448498,2.8217759,0,1,1,0,0
1000030,825,32,1,50.01461,8.4496899,8.7153749,0,1,1,0,0
1000033,1700,152,3.5,48.337589,10.85752,7.4836287,1,1,1,0,0
1000035,935,89,2,51.341808,12.3837,8.1394243,1,0,1,0,0
1000036,1300,130.60001,3,50.395641,8.0604296,2.7496424,1,0,1,0,0
1000037,1749,113.34,3,52.487171,13.37359,2.910418,1,0,1,0,0
1000038,348,61,3,51.431259,6.73388,2.6905024,0,0,1,0,0
1000039,1643.66,124.05,4,51.0527,13.72541,4.80093,1,1,0,0,0
1000040,1122.8199,87.720001,3,51.338692,12.38952,6.9910402,1,1,1,1,0
1000041,400,23.15,1,50.077942,8.2265797,5.7639904,0,1,1,0,0
1000047,574,88.260002,2,52.290169,10.998,0.65303332,1,0,1,0,0
1000051,970,97,4,50.061371,8.7463102,0.76638103,1,1,0,1,0
1000053,502,73.760002,3.5,50.941189,6.1108599,3.5548396,0,0,1,1,0
1000054,354.17001,69.400002,3.5,51.68935,7.1297798,3.7946308,1,0,1,0,0
1000056,479,60.099998,2,52.131908,11.60784,9.4893732,1,1,1,0,0
1000057,499,65.870003,2,52.134869,11.64755,7.9409533,0,1,0,0,0
1000059,287,70.239998,3,51.321011,12.27217,3.7350361,1,0,1,0,0
1000060,430,32.580002,1,51.778931,7.1616502,1.6800561,1,0,1,0,0
1000061,275,52.080002,3,51.527409,7.10642,0.63944548,0,0,0,0,0
1000062,365,62.900002,3,51.392899,6.7119002,0.14124247,1,0,0,0,0
1000063,375,56.880001,3,51.393589,6.7101998,7.6261082,1,0,0,0,0
1000064,263,57.849998,3,50.86343,12.94987,8.3697176,0,0,0,0,0
1000065,329,26,1,52.51086,13.50802,1.2460757,1,0,1,0,0
1000066,529,50,2,52.51086,13.50802,0.42816743,1,0,0,0,0
1000067,399,26,1,52.51086,13.50802,3.6714122,1,1,1,0,0
1000073,1106.28,130.14999,5,50.85989,12.89592,1.1815282,0,0,1,1,0
1000075,414.95999,80.860001,3.5,51.565269,7.1834998,0.6660167,1,0,1,0,0
1000076,1194,93.279999,3,51.49017,7.5201702,3.5712371,1,1,1,0,0
1000077,1077.5,82.879997,3,51.490829,7.5196199,8.8017731,1,1,1,1,0
1000081,617.20001,77.150002,2,51.057018,13.71488,8.2594995,1,0,0,1,0
1000082,257.87,36.32,1,51.046539,13.66534,5.2826562,1,0,0,0,0
1000083,325,57,2,51.29324,7.3093801,3.21545,1,1,0,0,0
1000089,531,78.870003,4.5,51.662369,7.0931602,6.5835648,1,0,0,0,0
1000090,286.39001,44.060001,2,52.595581,11.84747,4.3771911,1,0,1,0,0
1000091,649,66,3,51.03693,13.80637,5.2599778,1,1,1,1,0
1000092,640,73,3,51.370071,12.37294,9.2361107,1,1,1,1,0
1000093,1143.9,114.39,5,49.864731,8.6228104,5.0064116,1,0,0,0,0
1000097,315,30,1,51.56171,9.93927,1.192083,0,1,0,0,0
1000100,333.19,62.450001,2.5,51.469051,6.74933,2.7847483,1,0,1,0,0
1000101,538,67.239998,2,51.037022,13.7017,6.8850775,0,0,1,0,0
1000103,480,80.339996,3,51.3792,12.43213,7.1982698,0,1,1,1,0
1000105,689,96.07,3,52.111938,11.62199,4.8778811,1,1,1,0,0
1000106,385,55.830002,2.5,51.444889,6.9834299,2.6417243,1,0,1,0,0
1000107,505,65.059998,2.5,51.749142,7.1915498,5.0735035,1,0,0,0,0
1000108,496,59.400002,2,51.062092,13.7585,2.0890396,1,0,1,0,0
1000109,398,83,3,50.838402,12.94157,1.3070798,1,0,1,0,0
1000110,374,68,3,50.833302,12.88791,0.23628017,1,0,1,1,0
